manual_case_id,market_question,ts_lower,ts_upper,size_usd_approx,wallet_addr,direction,outcome_resolved,confidence_tier,manual_handle,raw_source_url
maduro_whale_burdensome_mix,"Will Nicolas Maduro exit office by January 31, 2026?",2025-12-27T00:00:00Z,2026-01-03T10:00:00Z,32537.0,0x31a56e9E690c621eD21De08Cb559e9524Cdb8eD9,YES,YES,T1,Burdensome-Mix,https://www.npr.org/2026/01/05/nx-s1-5667232/polymarket-maduro-bet-insider-trading
maduro_whale_burdensome_mix,"Will Nicolas Maduro exit office by January 31, 2026?",2025-12-27T00:00:00Z,2026-01-03T10:00:00Z,32537.0,0x31a56e9E690c621eD21De08Cb559e9524Cdb8eD9,YES,YES,T1,Burdensome-Mix,https://fortune.com/2026/01/05/polymarket-user-400k-maduro-capture-bets-insider-trading-suspicion/
maduro_whale_burdensome_mix,"Will Nicolas Maduro exit office by January 31, 2026?",2025-12-27T00:00:00Z,2026-01-03T10:00:00Z,32537.0,0x31a56e9E690c621eD21De08Cb559e9524Cdb8eD9,YES,YES,T1,Burdensome-Mix,https://fortune.com/2026/01/12/polymarket-kalshi-insider-trading-prediction-markets-cftc-torres-titus-venezuela/
alpharaccoon_google_search,Google Year in Search rankings — Who will be most-searched person / people of 2025?,2025-11-28T00:00:00Z,2025-12-10T00:00:00Z,10647.0,0xafEe,YES,YES,T1,AlphaRaccoon,https://finance.yahoo.com/news/polymarket-trader-makes-1-million-090001027.html
alpharaccoon_google_search,Google Year in Search rankings — Who will be most-searched person / people of 2025?,2025-11-28T00:00:00Z,2025-12-10T00:00:00Z,10647.0,0xafEe,YES,YES,T1,AlphaRaccoon,https://beincrypto.com/alleged-google-insider-trade-polymarket/
alpharaccoon_google_search,Google Year in Search rankings — Who will be most-searched person / people of 2025?,2025-11-28T00:00:00Z,2025-12-10T00:00:00Z,10647.0,0xafEe,YES,YES,T1,AlphaRaccoon,https://gizmodo.com/polymarket-user-accused-of-1-million-insider-trade-on-google-search-markets-2000696258
alpharaccoon_gemini_3_release,What day will Gemini 3.0 Flash be released?,2025-11-01T00:00:00Z,2025-11-28T00:00:00Z,150000.0,0xafEe,YES,YES,T2,AlphaRaccoon,https://beincrypto.com/alleged-google-insider-trade-polymarket/
iran_strikes_feb28_2026_38_accounts,"Will there be US-Israeli strikes on Iran on February 28, 2026?",2026-02-22T00:00:00Z,2026-02-28T00:00:00Z,500000.0,,YES,YES,T1,,https://www.aljazeera.com/news/2026/3/25/large-polymarket-wall-street-bets-on-trumps-war-news-under-scrutiny
magamyman_iran_strikes_2025,Will the U.S. conduct strikes against Iran?,2025-03-24T23:53:00Z,2025-03-25T01:04:00Z,87000.0,,YES,YES,T1,Magamyman,https://qz.com/polymarket-iran-strike-insider-bet-prediction-markets
iran_ceasefire_50_accounts_apr7,Will the US and Iran agree to a cease-fire?,2025-04-07T00:00:00Z,2025-04-07T18:30:00Z,500000.0,,YES,YES,T1,,https://time.com/article/2026/04/10/white-house-oil-prediction-markets-polymarket-bets-insider-trading-war/
french_whale_theo_trump_2024,Will Trump win the 2024 US Presidential Election?,2024-10-01T00:00:00Z,2024-11-05T00:00:00Z,80000000.0,,YES,YES,T1,Theo4 / Fredi9999,https://www.thefp.com/p/french-whale-makes-85-million-on-polymarket-trump-win
french_whale_theo_trump_2024,Will Trump win the 2024 US Presidential Election?,2024-10-01T00:00:00Z,2024-11-05T00:00:00Z,80000000.0,,YES,YES,T1,Theo4 / Fredi9999,https://www.cbsnews.com/news/french-whale-made-over-80-million-on-polymarket-betting-on-trump-election-win-60-minutes/
french_whale_theo_trump_2024,Will Trump win the 2024 US Presidential Election?,2024-10-01T00:00:00Z,2024-11-05T00:00:00Z,80000000.0,,YES,YES,T1,Theo4 / Fredi9999,https://finance.yahoo.com/news/polymarket-whale-actually-made-85-050139914.html
