,0
vol_48h_spike_ratio,0.06252750725643563
vol_24h_pct_total,0.0575
vol_72h_spike_ratio,0.055
vol_24h_spike_ratio,0.0525
wallet_12h_new_usd,0.05
vol_12h_spike_ratio,0.04776147601157318
vol_12h_usd,0.04549487217273218
vol_48h_usd,0.04547088661060556
vol_12h_pct_total,0.03787729303598005
wallet_24h_new_usd,0.0375
vol_72h_pct_total,0.03500200041901522
dir_24h_abs_imbalance,0.035
dir_72h_abs_imbalance,0.0349986050346339
vol_48h_pct_total,0.0325
vol_72h_usd,0.027654683344388233
dir_12h_sell_usd,0.024927933995045296
vol_24h_usd,0.0225
dir_24h_sell_usd,0.022496649310481853
vol_12h_trades,0.019555387204249212
wallet_24h_unique,0.01954007508596307
dir_72h_sell_usd,0.0175
dir_48h_abs_imbalance,0.0175
dir_48h_sell_usd,0.017497999580984788
vol_24h_trades,0.017486857375111638
wallet_12h_unique,0.01703204221918877
dir_48h_buy_usd,0.014767427310602328
dir_72h_buy_usd,0.014765098145530915
dir_24h_buy_usd,0.012467823658121189
dir_24h_net_usd,0.012413225884943582
dir_168h_buy_usd,0.010537978152215254
vol_48h_trades,0.007498682108001599
dir_48h_net_usd,0.007494617542552611
dir_24h_signed_imbalance,0.007383479213795663
vol_6h_trades,0.005047647409172126
dir_72h_signed_imbalance,0.005
dir_12h_abs_imbalance,0.005
vol_168h_usd,0.004999999999999999
vol_168h_spike_ratio,0.0049999999999999975
dir_12h_net_usd,0.0049979995809847876
vol_6h_usd,0.004995282473209831
vol_168h_pct_total,0.004945930176857488
dir_6h_sell_usd,0.004458120747827131
wallet_48h_unique,0.0025580672124538317
dir_6h_abs_imbalance,0.002528254271195015
wallet_6h_unique,0.002526273814854779
wallet_6h_new_usd,0.0024924998124953124
dir_12h_buy_usd,0.0024737261851452206
dir_12h_signed_imbalance,0.002123890419344965
vol_6h_spike_ratio,0.0004058170137691989
price_as_of_24h_ago,6.483127941371802e-05
dir_168h_net_usd,5.3689925805835824e-05
wallet_12h_top5_share,2.9707433114164927e-05
price_as_of_6h_ago,2.7961888980944233e-05
price_as_of_2h_ago,2.7637602255349178e-05
price_stdev,2.6914391920942792e-05
price_as_of_168h_ago,1.3142624888361385e-05
price_change_24h,1.2978585334198703e-05
price_change_12h,8.060711774347484e-06
dir_168h_signed_imbalance,7.500187504687787e-06
meta_total_trades,3.471032620959693e-06
vol_daily_avg_usd,3.4360093076355726e-06
dir_72h_net_usd,3.392130257802732e-06
wallet_168h_top1_share,3.35068951814501e-06
vol_6h_pct_total,1.9878978102741824e-06
price_change_168h,1.8698197000674973e-06
meta_window_trade_count,1.394965366098548e-06
wallet_168h_herfindahl,1.2815174825345123e-06
wallet_72h_top5_share,1.2815174825336117e-06
wallet_6h_herfindahl,1.7989273074832883e-18
dir_168h_abs_imbalance,1.744941187879263e-18
wallet_12h_top1_share,1.318034001029352e-18
vol_72h_trades,1.318034001029352e-18
wallet_72h_unique,1.318034001029352e-18
dir_6h_buy_usd,9.20570201573127e-19
price_24h_move_zscore,8.994636537416442e-19
vol_2h_trades,8.326672684688672e-19
dir_48h_signed_imbalance,8.326672684688672e-19
dir_2h_signed_imbalance,8.326672684688672e-19
wallet_168h_unique,8.326672684688672e-19
vol_2h_usd,7.807145243678181e-19
wallet_6h_new_share,0.0
wallet_12h_herfindahl,0.0
wallet_6h_top5_share,0.0
wallet_6h_top1_share,0.0
wallet_48h_top5_share,0.0
wallet_12h_new_share,0.0
wallet_24h_herfindahl,0.0
wallet_24h_top1_share,0.0
wallet_24h_top5_share,0.0
wallet_48h_top1_share,0.0
wallet_72h_top1_share,0.0
wallet_72h_herfindahl,0.0
wallet_48h_herfindahl,0.0
wallet_24h_new_share,0.0
meta_total_volume_usd,0.0
wallet_2h_new_share,0.0
wallet_2h_new_usd,0.0
meta_outcome_slot_count,0.0
vol_total_window_usd,0.0
vol_2h_pct_total,0.0
vol_2h_spike_ratio,0.0
vol_168h_trades,0.0
dir_2h_buy_usd,0.0
dir_2h_sell_usd,0.0
dir_2h_net_usd,0.0
dir_2h_abs_imbalance,0.0
dir_6h_net_usd,0.0
dir_6h_signed_imbalance,0.0
dir_168h_sell_usd,0.0
price_last,0.0
price_change_2h,0.0
price_change_6h,0.0
price_as_of_12h_ago,0.0
price_as_of_48h_ago,0.0
price_change_48h,0.0
price_as_of_72h_ago,0.0
price_change_72h,0.0
price_accel_2h_vs_6h,0.0
price_range,0.0
wallet_unique_total,0.0
wallet_2h_unique,0.0
wallet_2h_herfindahl,0.0
wallet_2h_top1_share,0.0
wallet_2h_top5_share,0.0
wallet_168h_top5_share,0.0
