,0
vol_24h_pct_total,0.24061862
vol_6h_usd,0.23225357
vol_48h_spike_ratio,0.12484147
dir_72h_sell_usd,0.08309883
vol_12h_usd,0.073047
price_as_of_48h_ago,0.046092134
vol_12h_spike_ratio,0.045009848
vol_12h_pct_total,0.042411722
wallet_12h_new_usd,0.03865325
dir_48h_buy_usd,0.011661552
dir_48h_abs_imbalance,0.010628205
vol_72h_usd,0.010381899
vol_168h_pct_total,0.0096683595
dir_6h_sell_usd,0.009237937
wallet_6h_new_usd,0.0077930866
vol_48h_trades,0.007427209
vol_6h_spike_ratio,0.007175372
price_range,0.0
wallet_2h_new_share,0.0
wallet_2h_new_usd,0.0
wallet_2h_top5_share,0.0
wallet_2h_top1_share,0.0
wallet_2h_herfindahl,0.0
wallet_2h_unique,0.0
price_as_of_6h_ago,0.0
wallet_unique_total,0.0
price_24h_move_zscore,0.0
price_change_6h,0.0
price_stdev,0.0
price_as_of_72h_ago,0.0
price_as_of_12h_ago,0.0
price_change_12h,0.0
price_accel_2h_vs_6h,0.0
price_change_168h,0.0
price_as_of_24h_ago,0.0
wallet_6h_unique,0.0
price_as_of_168h_ago,0.0
price_change_72h,0.0
price_change_24h,0.0
price_change_48h,0.0
meta_total_volume_usd,0.0
wallet_12h_unique,0.0
wallet_6h_herfindahl,0.0
wallet_24h_new_share,0.0
wallet_168h_top1_share,0.0
wallet_168h_herfindahl,0.0
wallet_168h_unique,0.0
wallet_72h_top5_share,0.0
wallet_72h_top1_share,0.0
wallet_72h_herfindahl,0.0
wallet_72h_unique,0.0
wallet_48h_top5_share,0.0
wallet_48h_top1_share,0.0
wallet_48h_herfindahl,0.0
wallet_48h_unique,0.0
wallet_24h_new_usd,0.0
wallet_6h_top1_share,0.0
wallet_24h_top5_share,0.0
wallet_24h_top1_share,0.0
wallet_24h_herfindahl,0.0
wallet_24h_unique,0.0
wallet_12h_new_share,0.0
wallet_12h_top5_share,0.0
wallet_12h_top1_share,0.0
wallet_12h_herfindahl,0.0
price_as_of_2h_ago,0.0
wallet_6h_new_share,0.0
wallet_6h_top5_share,0.0
price_change_2h,0.0
dir_72h_abs_imbalance,0.0
price_last,0.0
vol_24h_trades,0.0
dir_2h_sell_usd,0.0
dir_2h_buy_usd,0.0
vol_168h_spike_ratio,0.0
vol_168h_trades,0.0
vol_168h_usd,0.0
vol_72h_spike_ratio,0.0
vol_72h_pct_total,0.0
vol_72h_trades,0.0
vol_48h_pct_total,0.0
vol_48h_usd,0.0
vol_24h_spike_ratio,0.0
vol_24h_usd,0.0
dir_2h_abs_imbalance,0.0
vol_12h_trades,0.0
vol_6h_pct_total,0.0
vol_6h_trades,0.0
vol_2h_spike_ratio,0.0
vol_2h_pct_total,0.0
vol_2h_trades,0.0
vol_2h_usd,0.0
vol_daily_avg_usd,0.0
vol_total_window_usd,0.0
meta_window_trade_count,0.0
meta_outcome_slot_count,0.0
dir_2h_net_usd,0.0
dir_2h_signed_imbalance,0.0
dir_168h_signed_imbalance,0.0
dir_24h_signed_imbalance,0.0
dir_168h_abs_imbalance,0.0
dir_168h_net_usd,0.0
dir_168h_sell_usd,0.0
dir_168h_buy_usd,0.0
dir_72h_signed_imbalance,0.0
meta_total_trades,0.0
dir_72h_net_usd,0.0
dir_72h_buy_usd,0.0
dir_48h_signed_imbalance,0.0
dir_48h_net_usd,0.0
dir_48h_sell_usd,0.0
dir_24h_abs_imbalance,0.0
dir_6h_buy_usd,0.0
dir_24h_net_usd,0.0
dir_24h_sell_usd,0.0
dir_24h_buy_usd,0.0
dir_12h_signed_imbalance,0.0
dir_12h_abs_imbalance,0.0
dir_12h_net_usd,0.0
dir_12h_sell_usd,0.0
dir_12h_buy_usd,0.0
dir_6h_signed_imbalance,0.0
dir_6h_abs_imbalance,0.0
dir_6h_net_usd,0.0
wallet_168h_top5_share,0.0
