wallet,verdict,tier,first_trade_iso,hours_before_resolution,first_buy_price,buy_vwap_price,total_usd,n_trades,est_profit_usd_if_yes_held,funder,funder_amount_usdc
0xaefbcf0f09386e75a4cf97e93faee215380011af,suspected,T2,2025-07-17T16:48:14+00:00,129.8,0.64,0.4449,7318.89,17,4074.47,,
0x22e4248bdb066f65c9f11cd66cdd3719a28eef1c,ambiguous,T3,2025-07-17T18:40:54+00:00,128.0,0.38,0.7921,9303.9,30,1481.16,,
0x92126aca1acb18a59f8f1cbdb85df05596de2ff6,suspected,T2,2025-07-17T20:26:16+00:00,126.2,0.42,0.4697,30000.49,132,17765.52,,
0x398dafc40ced1757f33a263d809f18666ba5c7c3,suspected,T2,2025-07-17T21:06:02+00:00,125.5,0.41,0.5713,579519.68,148,402998.24,,
0xfe0efdfe79dee7920700a2e734eea139f6ee096f,suspected,T2,2025-07-18T00:31:22+00:00,122.1,0.51,0.5886,36240.02,43,14248.68,,
0x582d1d4fcf6db1034095de81af146ddb510494b7,suspected,T2,2025-07-18T00:35:16+00:00,122.0,0.69,0.6365,14120.96,33,3871.63,,
0x41f08110964f9ebdbac2d1428b534d02921db059,ambiguous,T3,2025-07-18T09:37:20+00:00,113.0,0.47,0.546,5851.22,12,5017.35,,
0xd985ef2db16944bd7dd8a7f8d67852107e5437aa,suspected,T2,2025-07-18T15:02:08+00:00,107.6,0.46,0.4958,16477.66,30,15146.44,,
0xaa569f50111776123481f31b41962342662ff232,suspected,T2,2025-07-18T15:26:58+00:00,107.2,0.57,0.6081,44321.69,127,53186.69,,
0x1d6f88896d07b1e6f26366615e7b7a2bf792482c,ambiguous,T3,2025-07-18T16:02:34+00:00,106.6,0.42,0.4698,4274.36,15,3465.11,,
0xc851cd9bee7d262afd78674f861f9f576a12cd2a,suspected,T2,2025-07-18T19:16:45+00:00,103.4,0.46,0.553,35639.3,52,30342.32,,
0xfd2b117412a698f322b0cd18d6827dad262b8e50,ambiguous,T3,2025-07-18T19:47:07+00:00,102.8,0.22,0.4827,60412.24,115,58867.82,,
0xdde191011bf40e8609b9ccc954327d533567ea9b,suspected,T2,2025-07-18T19:50:35+00:00,102.8,0.53,0.5109,20836.53,14,14905.97,,
0x1c1e841584db14084e10e7dca2ad0ab7b60dbfe7,suspected,T2,2025-07-18T19:54:29+00:00,102.7,0.49,0.5361,104570.38,86,37672.87,,
0x8795bcb2fe129d1ea3e3d73bc13a3d8078047544,suspected,T2,2025-07-18T20:01:41+00:00,102.6,0.43,0.5658,53460.01,38,24342.75,,
0x428a41b289e67059437b1b8af6462cd737145547,ambiguous,T3,2025-07-18T20:09:59+00:00,102.5,0.37,0.5635,5319.62,19,2208.99,,
0xa7279cf9d1ea4e353ff150128521294429d18289,suspected,T2,2025-07-18T20:14:39+00:00,102.4,0.43,0.5877,16127.04,17,9791.12,,
0x6ae4262882a7b2f61ab762f30416b8fd6d8aeb3f,suspected,T2,2025-07-18T20:35:15+00:00,102.0,0.44,0.3573,93636.7,14,221780.94,,
0x7c873c11e40ceaaba6385322d49f565b66659bd4,ambiguous,T3,2025-07-18T21:04:35+00:00,101.6,0.38,0.5993,23157.83,81,15831.41,,
0x218f912f8d88cc6ec06a5f812231d68602c77ef2,suspected,T2,2025-07-19T00:59:52+00:00,97.6,0.16,0.5278,6790.6,15,3447.37,,
0xaab9f5e600a5dd88fe3a6f93313b180f6220a08d,ambiguous,T3,2025-07-19T02:01:04+00:00,96.6,0.82,0.8292,6243.6,18,866.41,,
0x7bb244d0c70293e66dee84f3d0623fbbbf7d682c,suspected,T2,2025-07-19T13:11:32+00:00,85.4,0.56,0.5446,11912.04,12,9153.73,,
0xf88f44466f42aaa753c4b428f13fb30e9658c334,ambiguous,T2,2025-07-19T19:09:14+00:00,79.5,0.997,0.6353,22484.82,12,10173.37,,
0x7600ac7e3fe8097be7909ad78224aefd0baf4478,ambiguous,T3,2025-07-19T19:31:26+00:00,79.1,0.003,0.3343,13333.0,3,17750.67,,
0xc5bc38be98f5aacb1dd1aae9c79294d6fbdcc11a,ambiguous,T2,2025-07-19T20:29:02+00:00,78.1,0.997,0.3337,37002.0,3,50641.33,,
0xda737a656dd487c3ba95d6577d1fec2c61414d41,confirmed,T1,2025-07-19T20:33:52+00:00,78.1,0.002,0.334,50098.43,3,66676.91,,
0x4d98a43ca05d2c6196bc3a347da60d280572daae,suspected,T2,2025-07-19T21:26:18+00:00,77.2,0.002,0.3338,26352.96,6,65877.22,,
0x1341dc112f020a2f54cef22ed2d9399a54c32348,ambiguous,T2,2025-07-19T22:14:24+00:00,76.4,0.002,0.1674,221842.95,12,656876.1,,
0xdede3b92913c1b23c4bea8535c1d5598c78e616a,suspected,T2,2025-07-19T23:38:12+00:00,75.0,0.998,0.3337,5350.35,3,10684.66,,
0xf3a618aa325b4e7c96bcf22a800635d66ba10b94,suspected,T2,2025-07-21T00:55:39+00:00,49.7,0.998,0.749,50000.0,4,25100.0,,
0xc02356284def0c089d0ae810420ef5425865ccf8,confirmed,T1,2025-07-21T01:58:03+00:00,48.7,0.998,0.4002,30010.0,5,41986.0,,
